Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
X2GD Extra Large,x2gd.xlarge,x2gd,"78,390.384",Memory optimized,25.0 fps,64 GiB,,No,,,,,,,,0 units,4 vCPUs,16.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,237 GB NVMe SSD,Yes,Yes,arm64,Up to 10 Gigabit,1188 Mbps,148.5 MB/s,6000 IOPS,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.334 hourly,$0.2058 hourly,$0.1236 hourly,$0.1353 hourly,$0.3916 hourly,$0.2634 hourly,$0.1812 hourly,$0.2036 hourly,$0.3903 hourly,$0.2558 hourly,$0.1799 hourly,$0.2023 hourly,,,,,$5.878 hourly,$3.623 hourly,,,,,,,,,,,,,<5%,$0.0835 hourly,current,,,No,0.84x,,,,,,
R3 High-Memory Extra Large,r3.xlarge,r3,"60,682.68",Memory optimized,22.0 fps,30.5 GiB,,No,,,,,,,,13 units,4 vCPUs,7.63 GiB/vCPU,0,,0 GiB,0,0,3.2500 units,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,Yes,,,Yes,80 GB SSD,Yes,Yes,x86_64,Moderate,500 Mbps,62.5 MB/s,4000 IOPS,500 Mbps,62.5 MB/s,4000 IOPS,No,60,4,No,No,Yes,Yes,Unknown,Yes,,$0.333 hourly,$0.209 hourly,$0.1097 hourly,$0.1548 hourly,$0.46 hourly,$0.316 hourly,$0.1667 hourly,$0.2615 hourly,$0.433 hourly,$0.242 hourly,$0.2097 hourly,$0.3045 hourly,$0.583 hourly,$0.428 hourly,$0.3108 hourly,$0.3109 hourly,$2.926 hourly,,$0.738 hourly,$0.519 hourly,$1.378 hourly,$1.213 hourly,$2.017 hourly,$1.895 hourly,$0.40 hourly,$0.256 hourly,$0.812 hourly,$0.668 hourly,$1.832 hourly,$1.688 hourly,10-15%,$0.09 hourly,previous,,,No,0.72x,,,,,,
T3 Double Extra Large,t3.2xlarge,t3,"113,426.911",General purpose,45.0 fps,32 GiB,2933 MT/s,No,,,,,,,,0 units,8 vCPUs (9h 36m burst),4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Skylake E5 2686 v5,3.1 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 5 Gigabit,695 Mbps,86.875 MB/s,4000 IOPS,2780 Mbps,347.5 MB/s,15700 IOPS,Yes,60,4,Yes,Yes,Yes,No,Unknown,No,,$0.3328 hourly,$0.2086 hourly,$0.1024 hourly,$0.1335 hourly,$0.588 hourly,$0.3238 hourly,$0.2176 hourly,$0.2684 hourly,$0.4578 hourly,$0.2686 hourly,$0.2274 hourly,$0.2782 hourly,$0.48 hourly,$0.3558 hourly,$0.2114 hourly,$0.2137 hourly,$8.786 hourly,$5.508 hourly,$0.6152 hourly,$0.491 hourly,$1.44 hourly,$1.3158 hourly,$3.48 hourly,$3.3558 hourly,$0.468 hourly,$0.3438 hourly,$1.2928 hourly,$1.1686 hourly,$3.3328 hourly,$3.2086 hourly,<5%,,current,,,No,1.51x,,,,,,
M5ZN Extra Large,m5zn.xlarge,m5zn,"82,402.019",General purpose,28.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8252,4.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,Up to 25 Gigabit,1564 Mbps,195.5 MB/s,6667 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.3303 hourly,$0.2081 hourly,$0.1391 hourly,$0.1633 hourly,$0.4579 hourly,$0.2657 hourly,$0.1967 hourly,$0.2357 hourly,$0.3866 hourly,$0.2581 hourly,$0.1954 hourly,$0.2344 hourly,$0.5143 hourly,$0.3921 hourly,$0.2462 hourly,$0.2501 hourly,$4.36 hourly,$3.193 hourly,$0.5819 hourly,$0.4597 hourly,$0.9943 hourly,$0.8721 hourly,$2.0143 hourly,$1.8921 hourly,$0.3979 hourly,$0.2757 hourly,$0.8103 hourly,$0.6881 hourly,$1.8303 hourly,$1.7081 hourly,5-10%,$0.0826 hourly,current,,,No,0.92x,,,,,,
M7G Double Extra Large,m7g.2xlarge,m7g,"199,153.597",General purpose,73.0 fps,32 GiB,,No,,,,,,,,0 units,8 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.3264 hourly,$0.2159 hourly,$0.119 hourly,$0.1303 hourly,$0.5816 hourly,$0.4711 hourly,$0.2342 hourly,$0.2521 hourly,$0.4514 hourly,$0.2758 hourly,$0.244 hourly,$0.2619 hourly,,,,,$8.617 hourly,$5.70 hourly,,,,,,,,,,,,,10-15%,$0.0816 hourly,current,,,No,2.42x,,,,,,
R8A Extra Large,r8a.xlarge,r8a,"190,682.557",Memory optimized,72.0 fps,32 GiB,6400 MT/s,No,,,,,,,,0 units,4 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R45 Processor,Up to 4.5 GHz,,,,,EBS only,,,x86_64,Up to 12.5 Gigabit,1250 Mbps,156.25 MB/s,6000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,80,4,Yes,Yes,Yes,Yes,Unknown,No,,$0.3195 hourly,,$0.1068 hourly,$0.1529 hourly,$0.4471 hourly,,$0.1644 hourly,$0.2473 hourly,$0.3758 hourly,,$0.1631 hourly,$0.246 hourly,$0.5035 hourly,,$0.2422 hourly,$0.2425 hourly,$16.871 hourly,,$0.5711 hourly,,$0.9835 hourly,,$2.0035 hourly,,$0.3871 hourly,,$0.7995 hourly,,$1.8195 hourly,,5-10%,,current,,,No,2.40x,,,,,,
C8G Double Extra Large,c8g.2xlarge,c8g,"236,896.654",Compute optimized,88.0 fps,16 GiB,,No,,,,,,,,0 units,8 vCPUs,2.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,,,,,EBS only,,,arm64,Up to 15 Gigabit,2500 Mbps,312.5 MB/s,12000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,No,,$0.319 hourly,$0.2102 hourly,$0.1064 hourly,$0.1272 hourly,$0.5742 hourly,$0.3254 hourly,$0.2216 hourly,$0.2596 hourly,$0.444 hourly,$0.2701 hourly,$0.2314 hourly,$0.2694 hourly,,,,,$8.423 hourly,$5.55 hourly,,,,,,,,,,,,,<5%,,current,,,No,2.94x,,,,,,
M6IDN Extra Large,m6idn.xlarge,m6idn,"68,693.114",General purpose,28.0 fps,16 GiB,3200 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,237 GB NVMe SSD,Yes,Yes,x86_64,Up to 30 Gigabit,3125 Mbps,390.625 MB/s,12500 IOPS,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.3182 hourly,$0.2005 hourly,$0.0722 hourly,$0.0863 hourly,$0.4458 hourly,$0.3281 hourly,$0.1298 hourly,$0.1548 hourly,$0.3745 hourly,$0.2505 hourly,$0.1285 hourly,$0.1535 hourly,$0.5022 hourly,$0.3845 hourly,$0.2419 hourly,$0.2422 hourly,$6.758 hourly,$5.262 hourly,$0.5698 hourly,$0.4521 hourly,$0.9822 hourly,$0.8645 hourly,$2.0022 hourly,$1.8845 hourly,$0.3858 hourly,$0.2681 hourly,$0.7982 hourly,$0.6805 hourly,$1.8182 hourly,$1.7005 hourly,10-15%,$0.0796 hourly,current,,,No,0.94x,,,,,,
I3 High I/O Extra Large,i3.xlarge,i3,"52,721.761",Storage optimized,17.0 fps,30.5 GiB,,No,,,,,,,,16 units,4 vCPUs,7.63 GiB/vCPU,0,,0 GiB,0,0,4.0000 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,950 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,850 Mbps,106.25 MB/s,6000 IOPS,850 Mbps,106.25 MB/s,6000 IOPS,No,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.312 hourly,$0.214 hourly,$0.1306 hourly,$0.1346 hourly,$0.44 hourly,$0.342 hourly,$0.1886 hourly,$0.1967 hourly,$0.412 hourly,$0.247 hourly,$0.2306 hourly,$0.2387 hourly,$0.496 hourly,$0.398 hourly,$0.2152 hourly,$0.2349 hourly,$5.491 hourly,,$0.567 hourly,$0.469 hourly,$0.976 hourly,$0.878 hourly,$1.996 hourly,$1.898 hourly,$0.38 hourly,$0.282 hourly,$0.792 hourly,$0.694 hourly,$1.812 hourly,$1.714 hourly,>20%,$0.078 hourly,current,,,No,0.57x,,,,,,
I4G Extra Large,i4g.xlarge,i4g,"78,498.07",Storage optimized,26.0 fps,32 GiB,,No,,,,,,,,0 units,4 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,,,,,937 GB NVMe SSD,Yes,Yes,arm64,Up to 10 Gigabit,1250 Mbps,156.25 MB/s,5000 IOPS,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Yes,Unknown,Yes,,$0.3089 hourly,$0.2005 hourly,$0.0711 hourly,$0.0989 hourly,$0.4365 hourly,$0.3281 hourly,$0.1287 hourly,$0.1706 hourly,$0.3652 hourly,$0.2505 hourly,$0.1274 hourly,$0.1693 hourly,,,,,$5.436 hourly,$3.528 hourly,,,,,,,,,,,,,<5%,$0.0772 hourly,current,,,No,0.86x,,,,,,
