Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz)
U7IN-32TB 224xlarge,u7in-32tb.224xlarge,u7in-32tb,,Memory optimized,,32768 GiB,,,,,,,,,,0 units,896 vCPUs,36.57 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$360.987 hourly,$222.4564 hourly,,,$378.9966 hourly,$231.058 hourly,,,$361.112 hourly,$222.5163 hourly,,,$402.203 hourly,$263.6724 hourly,,,$397.086 hourly,$244.702 hourly,$417.3454 hourly,$278.8148 hourly,$509.723 hourly,$371.1924 hourly,$738.203 hourly,$599.6724 hourly,$376.1294 hourly,$237.5988 hourly,$468.507 hourly,$329.9764 hourly,$696.987 hourly,$558.4564 hourly,,,current,,,,,,,,,,
U7IN-24TB 224xlarge,u7in-24tb.224xlarge,u7in-24tb,,Memory optimized,,24576 GiB,,,,,,,,,,0 units,896 vCPUs,27.43 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$270.7313 hourly,$166.8368 hourly,,,$288.7409 hourly,$175.4384 hourly,,,$270.8563 hourly,$166.8967 hourly,,,$311.9473 hourly,$208.0528 hourly,,,$297.804 hourly,$183.52 hourly,$327.0897 hourly,$223.1952 hourly,$419.4673 hourly,$315.5728 hourly,$647.9473 hourly,$544.0528 hourly,$285.8737 hourly,$181.9792 hourly,$378.2513 hourly,$274.3568 hourly,$606.7313 hourly,$502.8368 hourly,,,current,,,,,,,,,,
U-24TB1 112xlarge,u-24tb1.112xlarge,u-24tb1,,Memory optimized,,24576 GiB,,,,,,,,,,0 units,448 vCPUs,54.86 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8280L (Cascade Lake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$218.40 hourly,,,,$227.4048 hourly,,,,$218.525 hourly,,,,$239.008 hourly,$134.5879 hourly,,,$70.176 hourly,,$246.5792 hourly,,$292.768 hourly,,$407.008 hourly,,$225.9712 hourly,,$272.16 hourly,,$386.40 hourly,,,,previous,,,,,,,,,,
U7IN-16TB 224xlarge,u7in-16tb.224xlarge,u7in-16tb,,Memory optimized,,16384 GiB,,,,,,,,,,0 units,896 vCPUs,18.29 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,800,16,Yes,Yes,Yes,Yes,Unknown,No,,$180.4756 hourly,$111.2172 hourly,,,$198.4852 hourly,$119.8188 hourly,,,$180.6006 hourly,$111.2771 hourly,,,$221.6916 hourly,$152.4332 hourly,,,$198.523 hourly,$122.339 hourly,$236.834 hourly,$167.5756 hourly,$329.2116 hourly,$259.9532 hourly,$557.6916 hourly,$488.4332 hourly,$195.618 hourly,$126.3596 hourly,$287.9956 hourly,$218.7372 hourly,$516.4756 hourly,$447.2172 hourly,,,current,,,,,,,,,,
U-18TB1 112xlarge,u-18tb1.112xlarge,u-18tb1,,Memory optimized,,18432 GiB,,,,,,,,,,0 units,448 vCPUs,41.14 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8280L (Cascade Lake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$163.80 hourly,,,,$172.8048 hourly,,,,$163.925 hourly,,,,$184.408 hourly,$100.9409 hourly,,,$163.80 hourly,,$191.9792 hourly,,$238.168 hourly,,$352.408 hourly,,$171.3712 hourly,,$217.56 hourly,,$331.80 hourly,,,,previous,,,,,,,,,,
P6-B300 48xlarge,p6-b300.48xlarge,p6-b300,,GPU instance,,4096 GiB,,,,,,,,,,0 units,192 vCPUs,21.33 GiB/vCPU,8,NVIDIA B300,2100 GiB,10,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,,Yes,Yes,EBS only,,,x86_64,6400 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,Yes,Yes,Yes,Yes,Unknown,No,,$142.416 hourly,,$64.5207 hourly,$64.5207 hourly,$146.2752 hourly,,$66.3639 hourly,$66.3639 hourly,$142.541 hourly,,$64.6457 hourly,$64.6457 hourly,,,,,,,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
U7I-12TB 224xlarge,u7i-12tb.224xlarge,u7i-12tb,,Memory optimized,,12288 GiB,,,,,,,,,,0 units,896 vCPUs,13.71 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$125.5818 hourly,$77.4024 hourly,,,$143.5914 hourly,$95.412 hourly,,,$125.7068 hourly,$77.4623 hourly,,,$166.7978 hourly,$118.6184 hourly,,,$138.14 hourly,$85.143 hourly,$181.9402 hourly,$133.7608 hourly,$274.3178 hourly,$226.1384 hourly,$502.7978 hourly,$454.6184 hourly,$140.7242 hourly,$92.5448 hourly,$233.1018 hourly,$184.9224 hourly,$461.5818 hourly,$413.4024 hourly,,,current,,,,,,,,,,
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,p6-b200,"3,990,024.938",GPU instance,,2048 GiB,5600 MT/s,Yes,2,21,48,96,1021963 MB,320.0 MB,Yes,0 units,192 vCPUs,10.67 GiB/vCPU,8,NVIDIA B200,1440 GiB,10,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,,,,,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,3200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,1600,32,Yes,Yes,Yes,Yes,Unknown,No,,$113.9328 hourly,,$38.8339 hourly,$44.7074 hourly,$117.792 hourly,,$40.6771 hourly,$57.6584 hourly,$114.0578 hourly,,$38.9589 hourly,$55.9402 hourly,,,,,,,,,,,,,,,,,,,<5%,,current,"Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell",25.3°C,,,158.0W,158.0W,822 MHz,822 MHz,3996 MHz,1071 MHz
U-12TB1 112xlarge,u-12tb1.112xlarge,u-12tb1,,Memory optimized,,12288 GiB,,,,,,,,,,0 units,448 vCPUs,27.43 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$109.20 hourly,,,,$118.2048 hourly,,,,$109.325 hourly,,,,$129.808 hourly,$67.3054 hourly,,,$67.294 hourly,,$137.3792 hourly,,$183.568 hourly,,$297.808 hourly,,$116.7712 hourly,,$162.96 hourly,,$277.20 hourly,,,,previous,,,,,,,,,,
U7I-8TB 112xlarge,u7i-8tb.112xlarge,u7i-8tb,"8,540,382.538",Memory optimized,249.0 fps,8192 GiB,4800 MT/s,Yes,4,21,56,112,2061155 MB,105.0 MB,Yes,0 units,448 vCPUs,18.29 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$83.72 hourly,,,,$92.7248 hourly,,,,$83.845 hourly,,,,$104.328 hourly,,,,$92.092 hourly,,$111.8992 hourly,,$158.088 hourly,,$272.328 hourly,,$91.2912 hourly,,$137.48 hourly,,$251.72 hourly,,,,current,,,No,8.30x,,,,,,
U-9TB1 112xlarge,u-9tb1.112xlarge,u-9tb1,,Memory optimized,,9216 GiB,,,,,,,,,,0 units,448 vCPUs,20.57 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),,Yes,Yes,,Yes,EBS only,,,x86_64,100 Gigabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,No,Yes,Yes,No,Unknown,No,,$81.90 hourly,,,,$90.9048 hourly,,,,$82.025 hourly,,,,$102.508 hourly,$50.4791 hourly,,,$50.474 hourly,,$110.0792 hourly,,$156.268 hourly,,$270.508 hourly,,$89.4712 hourly,,$135.66 hourly,,$249.90 hourly,,,,previous,,,,,,,,,,
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,p5en,,GPU instance,,2048 GiB,,,,,,,,,,0 units,192 vCPUs,10.67 GiB/vCPU,8,NVIDIA H200,1128 GiB,9,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,,,,,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,3200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,3200,64,Yes,Yes,Yes,Yes,Unknown,No,,$63.296 hourly,,$21.171 hourly,$24.8112 hourly,$67.1552 hourly,,$23.0142 hourly,$33.8126 hourly,$63.421 hourly,,$21.296 hourly,$32.0944 hourly,,,,,,,,,,,,,,,,,,,<5%,,current,,,,,,,,,,
U7I-6TB 112xlarge,u7i-6tb.112xlarge,u7i-6tb,"8,291,178.285",Memory optimized,242.0 fps,6144 GiB,4800 MT/s,Yes,4,21,56,112,1545059 MB,105.0 MB,Yes,0 units,448 vCPUs,13.71 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),2.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,100000 Mbps,12500 MB/s,560000 IOPS,100000 Mbps,12500 MB/s,560000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$62.79 hourly,,,,$71.7948 hourly,,,,$62.915 hourly,,,,$83.398 hourly,,,,$69.069 hourly,,$90.9692 hourly,,$137.158 hourly,,$251.398 hourly,,$70.3612 hourly,,$116.55 hourly,,$230.79 hourly,,,,current,,,No,8.04x,,,,,,
P5 48xlarge,p5.48xlarge,p5,"3,900,325.027",GPU instance,,2048 GiB,3200 MT/s,Yes,2,32,48,96,1023979 MB,192.0 MB,Yes,0 units,192 vCPUs,10.67 GiB/vCPU,8,NVIDIA H100,640 GiB,9,0,0.0000 units,AMD EPYC 7R13 Processor,2.95 GHz,,,,,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,3200 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,80000 Mbps,10000 MB/s,260000 IOPS,Yes,3200,64,Yes,Yes,Yes,Yes,Unknown,Yes,,$55.04 hourly,,$14.2874 hourly,$16.3659 hourly,$58.8992 hourly,,$16.1306 hourly,$20.3012 hourly,$55.165 hourly,,$14.4124 hourly,$18.583 hourly,,,,,,,,,,,,,,,,,,,10-15%,$13.76 hourly,current,"Hopper, Hopper, Hopper, Hopper, Hopper, Hopper, Hopper, Hopper",28.1°C,,,77.0W,77.0W,549 MHz,549 MHz,2619 MHz,863 MHz
U-6TB1 112xlarge,u-6tb1.112xlarge,u-6tb1,"5,678,613.303",Memory optimized,114.0 fps,6144 GiB,2933 MT/s,Yes,8,31,28,56,770955 MB,38.0 MB,Yes,0 units,448 vCPUs,13.71 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),,Yes,Yes,,,EBS only,,,x86_64,100 Gigabit,38000 Mbps,4750 MB/s,160000 IOPS,38000 Mbps,4750 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$54.60 hourly,$33.647 hourly,,,$63.6048 hourly,$37.9478 hourly,,,$54.725 hourly,$33.707 hourly,,,$75.208 hourly,$54.255 hourly,,,$33.652 hourly,$33.652 hourly,$82.7792 hourly,$61.8262 hourly,$128.968 hourly,$108.015 hourly,$243.208 hourly,$222.255 hourly,$62.1712 hourly,$41.2182 hourly,$108.36 hourly,$87.407 hourly,$222.60 hourly,$201.647 hourly,,,current,,,No,3.78x,,,,,,
U-6TB1 56xlarge,u-6tb1.56xlarge,u-6tb1,"4,544,071.407",Memory optimized,170.0 fps,6144 GiB,2666 MT/s,Yes,8,31,28,28,770971 MB,38.0 MB,Yes,0 units,224 vCPUs,27.43 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),,Yes,Yes,,,EBS only,,,x86_64,100 Gigabit,38000 Mbps,4750 MB/s,160000 IOPS,38000 Mbps,4750 MB/s,160000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$46.4039 hourly,$28.5962 hourly,,,$50.9063 hourly,$30.7466 hourly,,,$46.5289 hourly,$28.6562 hourly,,,$56.7079 hourly,$38.9002 hourly,,,$33.652 hourly,$33.652 hourly,$60.4935 hourly,$42.6858 hourly,$83.5879 hourly,$65.7802 hourly,$140.7079 hourly,$122.9002 hourly,$50.1895 hourly,$32.3818 hourly,$73.2839 hourly,$55.4762 hourly,$130.4039 hourly,$112.5962 hourly,,,current,,,No,5.67x,,,,,,
P3DN 24xlarge,p3dn.24xlarge,p3dn,"1,323,529.412",GPU instance,162.0 fps,768 GiB,2666 MT/s,Yes,2,21,24,48,382935 MB,33.0 MB,Yes,337 units,96 vCPUs,8.00 GiB/vCPU,8,NVIDIA Tesla V100,256 GiB,7,0,3.5104 units,Intel Xeon Platinum 8175 (Skylake),2.5 GHz,Yes,Yes,Yes,Yes,1800 GB (2×900 GB NVMe SSD),Yes,Yes,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$31.212 hourly,$19.215 hourly,$6.3109 hourly,$6.421 hourly,$33.593 hourly,$21.595 hourly,$7.3479 hourly,$7.568 hourly,$31.337 hourly,$19.275 hourly,$6.4359 hourly,$6.656 hourly,$35.628 hourly,$23.631 hourly,$7.5372 hourly,$7.6223 hourly,$34.333 hourly,$21.136 hourly,,,,,,,,,,,,,>20%,,current,,,No,5.38x,,,,,,
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,g6e,"3,635,502.959",GPU instance,142.0 fps,1536 GiB,3200 MT/s,Yes,2,32,48,96,763916 MB,192.0 MB,Yes,0 units,192 vCPUs,8.00 GiB/vCPU,8,NVIDIA L40S,384 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,,,,,7600 GB (4×1900 GB NVMe SSD),Yes,Yes,x86_64,400 Gigabit,60000 Mbps,7500 MB/s,240000 IOPS,60000 Mbps,7500 MB/s,240000 IOPS,Yes,2000,40,Yes,Yes,Yes,Yes,Unknown,No,,$30.1312 hourly,$18.9826 hourly,$8.5806 hourly,$13.9219 hourly,$33.9904 hourly,$20.8258 hourly,$10.4238 hourly,$18.0897 hourly,$30.2562 hourly,$19.0425 hourly,$8.7056 hourly,$16.3715 hourly,$38.9632 hourly,$27.8146 hourly,$13.284 hourly,$14.8562 hourly,$33.144 hourly,$9.56 hourly,,,,,,,,,,,,,>20%,,current,"Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace, Ada Lovelace",33.6°C,Yes,4.72x,78.0W,78.0W,2261 MHz,2261 MHz,9001 MHz,1868 MHz
X8AEDZ 24xlarge,x8aedz.24xlarge,x8aedz,"4,801,527.759",Memory optimized,430.0 fps,3072 GiB,6400 MT/s,Yes,2,32,48,48,1542103 MB,256.0 MB,Yes,0 units,96 vCPUs,32.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R05 Processor,Up to 5 GHz,,,,,EBS only,,,x86_64,75000 Megabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,Yes,Yes,Yes,Yes,Unknown,No,,$27.6144 hourly,,$7.6766 hourly,$7.8177 hourly,$29.9952 hourly,,$8.7134 hourly,$8.9956 hourly,$27.7394 hourly,,$7.8016 hourly,$8.0838 hourly,$32.0304 hourly,,$11.8529 hourly,$12.2959 hourly,$30.376 hourly,,$33.6528 hourly,,$43.5504 hourly,,$68.0304 hourly,,$29.2368 hourly,,$39.1344 hourly,,$63.6144 hourly,,15-20%,,current,,,No,14.30x,,,,,,
X8AEDZ Metal-24xl,x8aedz.metal-24xl,x8aedz,"4,924,454.393",Memory optimized,454.0 fps,3072 GiB,6400 MT/s,Yes,2,32,48,48,1548023 MB,256.0 MB,Yes,0 units,96 vCPUs,32.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R05 Processor,Up to 5 GHz,,,,,EBS only,,,x86_64,75000 Megabit,,0 MB/s,0 IOPS,,0 MB/s,0 IOPS,No,,,Yes,Yes,Yes,Yes,Unknown,No,,$27.6144 hourly,,$7.6812 hourly,$7.7944 hourly,$29.9952 hourly,,$8.718 hourly,$8.9443 hourly,$27.7394 hourly,,$7.8062 hourly,$8.0325 hourly,$32.0304 hourly,,$11.8694 hourly,$12.2324 hourly,$30.376 hourly,,$33.6528 hourly,,$43.5504 hourly,,$68.0304 hourly,,$29.2368 hourly,,$39.1344 hourly,,$63.6144 hourly,,5-10%,,current,,,No,15.10x,,,,,,
P4DE 24xlarge,p4de.24xlarge,p4de,"1,557,493.409",GPU instance,,1152 GiB,3200 MT/s,Yes,2,21,24,48,574363 MB,35.0 MB,Yes,345 units,96 vCPUs,12.00 GiB/vCPU,8,NVIDIA A100,640 GiB,8,0,3.5938 units,Intel Xeon Platinum 8275L,3 GHz,Yes,Yes,Yes,Yes,8000 GB (8×1000 GB NVMe SSD),Yes,Yes,x86_64,4x 100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,3000,60,Yes,Yes,Yes,Yes,Unknown,No,,$27.4471 hourly,$17.4014 hourly,$14.2519 hourly,$15.7205 hourly,$29.8279 hourly,$19.7822 hourly,$15.2887 hourly,$19.5394 hourly,$27.5721 hourly,$17.4613 hourly,$14.3769 hourly,$18.6276 hourly,,,,,$30.192 hourly,$15.313 hourly,,,,,,,,,,,,,>20%,,current,"Ampere, Ampere, Ampere, Ampere, Ampere, Ampere, Ampere, Ampere",28.1°C,,,0.0W,0.0W,804 MHz,804 MHz,1593 MHz,876 MHz
U-3TB1 56xlarge,u-3tb1.56xlarge,u-3tb1,"2,906,920.157",Memory optimized,162.0 fps,3072 GiB,2933 MT/s,Yes,4,31,28,56,771012 MB,38.0 MB,Yes,0 units,224 vCPUs,13.71 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),2.1 GHz,Yes,Yes,,,EBS only,,,x86_64,50 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,240,8,Yes,Yes,Yes,Yes,Unknown,No,,$27.30 hourly,$16.8235 hourly,,,$31.8024 hourly,$21.3259 hourly,,,$27.425 hourly,$16.8835 hourly,,,$37.604 hourly,$27.1275 hourly,,,,,$41.3896 hourly,$30.9131 hourly,$64.484 hourly,$54.0075 hourly,$121.604 hourly,$111.1275 hourly,$31.0856 hourly,$20.6091 hourly,$54.18 hourly,$43.7035 hourly,$111.30 hourly,$100.8235 hourly,,,current,,,No,5.41x,,,,,,
X1E 32xlarge,x1e.32xlarge,x1e,"2,226,377.354",Memory optimized,247.0 fps,3904 GiB,,Yes,4,21,16,32,983770 MB,45.0 MB,Yes,340 units,128 vCPUs,30.50 GiB/vCPU,0,,0 GiB,0,0,2.6563 units,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,Yes,Yes,,,3840 GB (2×1920 GB SSD),Yes,Yes,x86_64,25 Gigabit,14000 Mbps,1750 MB/s,80000 IOPS,14000 Mbps,1750 MB/s,80000 IOPS,No,240,8,Yes,Yes,Yes,Yes,Unknown,Yes,,$26.688 hourly,$16.446 hourly,$4.8956 hourly,$4.9297 hourly,$29.261 hourly,$19.019 hourly,$6.1246 hourly,$6.226 hourly,$26.788 hourly,$16.479 hourly,$4.9956 hourly,$5.097 hourly,$32.576 hourly,$22.334 hourly,$8.5568 hourly,$8.5568 hourly,$29.357 hourly,,$34.74 hourly,$24.498 hourly,$47.936 hourly,$37.694 hourly,$80.576 hourly,$70.334 hourly,$28.851 hourly,$18.609 hourly,$42.048 hourly,$31.806 hourly,$74.688 hourly,$64.446 hourly,>20%,$6.672 hourly,current,,,No,8.23x,,,,,,
X2IEDN 32xlarge,x2iedn.32xlarge,x2iedn,"2,111,949.841",Memory optimized,217.0 fps,4096 GiB,3200 MT/s,Yes,2,20,32,64,2056116 MB,54.0 MB,Yes,0 units,128 vCPUs,32.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,Yes,,$26.676 hourly,$16.4137 hourly,$5.2596 hourly,$8.7618 hourly,$29.2488 hourly,$17.6425 hourly,$6.4884 hourly,$12.6276 hourly,$26.801 hourly,$16.4737 hourly,$5.3846 hourly,$11.5238 hourly,$32.564 hourly,$22.3017 hourly,$8.5556 hourly,$8.5556 hourly,$29.344 hourly,$18.055 hourly,$34.7272 hourly,$24.4649 hourly,$47.924 hourly,$37.6617 hourly,$80.564 hourly,$70.3017 hourly,$28.8392 hourly,$18.5769 hourly,$42.036 hourly,$31.7737 hourly,$74.676 hourly,$64.4137 hourly,>20%,$6.669 hourly,current,,,No,7.22x,,,,,,
X2IEDN Metal,x2iedn.metal,x2iedn,"2,256,600.115",Memory optimized,267.0 fps,4096 GiB,3200 MT/s,Yes,2,20,32,64,2064226 MB,54.0 MB,Yes,0 units,128 vCPUs,32.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,3800 GB (2×1900 GB NVMe SSD),Yes,Yes,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,80000 Mbps,10000 MB/s,260000 IOPS,Yes,750,15,Yes,Yes,Yes,Yes,Unknown,No,,$26.676 hourly,$16.4137 hourly,$4.216 hourly,$5.1935 hourly,$29.2488 hourly,$17.6425 hourly,$5.4448 hourly,$7.6226 hourly,$26.801 hourly,$16.4737 hourly,$4.341 hourly,$6.5188 hourly,$32.564 hourly,$16.4137 hourly,$8.5556 hourly,$8.5556 hourly,$29.344 hourly,$18.055 hourly,$34.7272 hourly,$24.4649 hourly,$47.924 hourly,$37.6617 hourly,$80.564 hourly,$70.3017 hourly,$28.8392 hourly,$18.5769 hourly,$42.036 hourly,$31.7737 hourly,$74.676 hourly,$64.4137 hourly,<5%,,current,,,No,8.88x,,,,,,
R8I 96xlarge,r8i.96xlarge,r8i,"8,925,043.579",Memory optimized,303.0 fps,3072 GiB,7200 MT/s,Yes,6,28,32,64,507918 MB,480.0 MB,Yes,0 units,384 vCPUs,8.00 GiB/vCPU,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Granite Rapids),3.9 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,80000 Mbps,10000 MB/s,480000 IOPS,80000 Mbps,10000 MB/s,480000 IOPS,Yes,1536,24,Yes,Yes,Yes,Yes,Unknown,No,,$26.6726 hourly,,$8.3478 hourly,$10.5119 hourly,$34.391 hourly,,$12.0342 hourly,$19.0814 hourly,$26.7976 hourly,,$8.4728 hourly,$15.52 hourly,$44.3366 hourly,,$20.3313 hourly,$20.3313 hourly,$29.34 hourly,,$50.8262 hourly,,$90.4166 hourly,,$188.3366 hourly,,$33.1622 hourly,,$72.7526 hourly,,$170.6726 hourly,,<5%,,current,,,No,10.10x,,,,,,
